
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18_RT, RAM64X18_RT, GLOBAL, IO
. RTG4_CoreRISCV_AXI4_BaseDesign, 5088, 9408, 1150, 0, 2, 8, 64, 8, 94
.	. AXI_GLUE_LOGIC, 0, 17, 0, 0, 0, 0, 0, 0, 0
.	. COREAHBTOAPB3_25s_1s, 101, 73, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_AhbToApbSM_1s_0_1_0_1_2_3_4, 10, 25, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_ApbAddrData_1s, 88, 45, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_PenableScheduler_1s_0_1_2, 3, 3, 0, 0, 0, 0, 0, 0, 0
.	. COREAXITOAHBL_5s_0s_0s_0s_2s_0, 415, 676, 80, 0, 0, 0, 8, 0, 0
.	.	. COREAXITOAHBL_AHBMasterCtrl_Z10_1, 135, 357, 40, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXIOutReg_5s_0, 69, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXISlaveCtrl_Z9_1, 73, 319, 40, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSRTBAddrOffset_1, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSTRBPopCntr_1, 0, 36, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_1, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_2, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	. COREAXITOAHBL_5s_0s_0s_0s_2s_1, 418, 659, 80, 0, 0, 0, 8, 0, 0
.	.	. COREAXITOAHBL_AHBMasterCtrl_Z10_0, 135, 332, 40, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXIOutReg_5s, 71, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXISlaveCtrl_Z9, 74, 327, 40, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSTRBPopCntr, 0, 53, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_0, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	. COREBOOTSTRAP_Z13, 335, 289, 184, 0, 0, 0, 0, 1, 0
.	.	. COREBOOTSTRAP_AHB_WRITER_2147483648_0_1_2_3_4_5_6_7_8, 76, 46, 46, 0, 0, 0, 0, 0, 0
.	.	. COREBOOTSTRAP_BOOT_RESET_32768s_32768s, 33, 13, 32, 0, 0, 0, 0, 1, 0
.	.	. COREBOOTSTRAP_SPI_READER_Z12, 226, 224, 106, 0, 0, 0, 0, 0, 0
.	.	.	. COREBOOTSTRAP_SPI_CTRL_Z11, 226, 224, 106, 0, 0, 0, 0, 0, 0
.	.	. COREBOOTSTRAP_SPI_SEL, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	. COREJTAGDEBUG_85_1s, 16, 117, 0, 0, 0, 0, 0, 3, 0
.	.	. uj_jtag_85, 16, 115, 0, 0, 0, 0, 0, 0, 0
.	. CORESPI_Z18, 193, 321, 23, 0, 0, 0, 2, 0, 0
.	.	. spi_32s_8s_32s_7s_0_0_1_0s_1s, 193, 321, 23, 0, 0, 0, 2, 0, 0
.	.	.	. spi_chanctrl_Z17, 122, 184, 11, 0, 0, 0, 0, 0, 0
.	.	.	. spi_control_8s, 0, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	. spi_fifo_8s_32s_5_0, 18, 29, 6, 0, 0, 0, 1, 0, 0
.	.	.	. spi_fifo_8s_32s_5_1, 18, 23, 6, 0, 0, 0, 1, 0, 0
.	.	.	. spi_rf_32s_0, 35, 60, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBLite_Z4, 117, 341, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBLITE_MATRIX4X16_0_1_0_65536_65536_0_0_1s, 117, 341, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_0_1_0_1s_0_1_0_2, 53, 78, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_ADDRDEC_Z1_0, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_1s_0_1_0, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_0_1_0_1s_0_1_0_3, 56, 99, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_ADDRDEC_Z1, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_1s_0_1, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_1s_0_0_0, 8, 164, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3_1, 6, 30, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBLite_Z7, 44, 121, 0, 0, 0, 0, 0, 0, 0
