
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18_RT, RAM64X18_RT, GLOBAL, IO
. PROC_SUBSYSTEM, 5514, 11391, 1156, 0, 2, 8, 8, 9, 89
.	. COREAHBTOAPB3_25s_1s, 101, 62, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_AhbToApbSM_1s_0_1_0_1_2_3_4, 10, 34, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_ApbAddrData_1s, 88, 25, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_PenableScheduler_1s_0_1_2, 3, 3, 0, 0, 0, 0, 0, 0, 0
.	. COREJTAGDEBUG_Z11, 17, 127, 0, 0, 0, 0, 0, 4, 0
.	.	. COREJTAGDEBUG_UJ_JTAG_85_0_0, 17, 124, 0, 0, 0, 0, 0, 0, 0
.	. CoreAPB3_Z8, 0, 65, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAPB3_MUXPTOB3_0, 0, 65, 0, 0, 0, 0, 0, 0, 0
.	. CoreTimer_32s_1s_25s_1s, 118, 101, 43, 0, 0, 0, 0, 0, 0
.	. CoreTimer_32s_1s_25s_1s_0, 118, 136, 42, 0, 0, 0, 0, 0, 0
.	. DDR_MEMORY_CTRL, 99, 355, 25, 0, 0, 0, 0, 0, 71
.	.	. DDR_MEMORY_CTRL_COREABC_0_COREABC_Z13, 99, 355, 25, 0, 0, 0, 0, 0, 0
.	.	.	. DDR_MEMORY_CTRL_COREABC_0_INSTRUCTIONS_Z14, 33, 221, 0, 0, 0, 0, 0, 0, 0
.	.	. DDR_MEMORY_CTRL_FDDRC_0_RTG4FDDRC, 0, 0, 0, 0, 0, 0, 0, 0, 71
.	. PROC_SUBSYSTEM_CoreAHBLite_0_CoreAHBLite_Z4, 66, 194, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBLITE_MATRIX4X16_0_1_0_65536_0_0_0_1s, 66, 194, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_0_1_0_65536_1s_0_1_0, 56, 108, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_ADDRDEC_Z1, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_1s_0_1, 1, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_1s_0_0_0, 10, 86, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3, 9, 51, 0, 0, 0, 0, 0, 0, 0
.	. PROC_SUBSYSTEM_CoreAHBLite_1_CoreAHBLite_Z7, 33, 76, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBLITE_MATRIX4X16_1_1_0_128_0_0_0_1s, 33, 76, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_128_1s_0_1_0, 27, 52, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_1s_0_1_0, 1, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_1s_0_0_2, 6, 24, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3_0, 5, 22, 0, 0, 0, 0, 0, 0, 0
.	. PROC_SUBSYSTEM_CoreGPIO_IN_CoreGPIO_Z9, 32, 3, 0, 0, 0, 0, 0, 0, 0
.	. PROC_SUBSYSTEM_CoreGPIO_OUT_CoreGPIO_Z10, 8, 2, 0, 0, 0, 0, 0, 0, 0
.	. PROC_SUBSYSTEM_CoreUARTapb_0_CoreUARTapb_Z12, 114, 159, 19, 0, 0, 0, 0, 0, 0
.	.	. PROC_SUBSYSTEM_CoreUARTapb_0_COREUART_0s_0s_0s_25s_0s_1s, 90, 132, 19, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_CoreUARTapb_0_Clock_gen_0s_1s, 19, 11, 14, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_CoreUARTapb_0_Rx_async_1s_0s_0s_1s_2s_3s, 41, 82, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_CoreUARTapb_0_Tx_async_1s_0s_0s_1s_2s_3s_4s_5s_6s, 21, 32, 5, 0, 0, 0, 0, 0, 0
.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_32896_32896_2s_5s_34s_2s, 4804, 10109, 1027, 0, 2, 8, 8, 1, 0
.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CORE_RISC_VAHB_TOP, 4804, 10109, 1027, 0, 2, 8, 8, 1, 0
.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_COREPLEX_LOCAL_INTERRUPTER_CLINT, 129, 107, 192, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_DEBUG_TRANSPORT_MODULE_JTAG, 168, 232, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CAPTURE_CHAIN, 32, 32, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CAPTURE_UPDATE_CHAIN, 32, 33, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CAPTURE_UPDATE_CHAIN_1, 41, 68, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_JTAG_BYPASS_CHAIN, 1, 1, 0, 0, 0, 0, 0, 0, 0
