
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18_RT, RAM64X18_RT, GLOBAL, IO
. RTG4_RV32_BaseDesign, 5520, 10892, 1140, 0, 2, 8, 8, 8, 89
.	. COREAHBTOAPB3_25s_1s, 101, 54, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_AhbToApbSM_1s_0_1_0_1_2_3_4, 10, 27, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_ApbAddrData_1s, 88, 24, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_PenableScheduler_1s_0_1_2, 3, 3, 0, 0, 0, 0, 0, 0, 0
.	. COREJTAGDEBUG_Z11, 20, 129, 0, 0, 0, 0, 0, 4, 0
.	.	. COREJTAGDEBUG_UJ_JTAG_85_0_0, 20, 126, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBLite_Z4, 68, 196, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBLITE_MATRIX4X16_0_1_0_65536_0_0_0_1s, 68, 196, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_0_1_0_65536_1s_0_1_0, 56, 107, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_ADDRDEC_Z1, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_1s_0_1, 1, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_1s_0_0_0, 12, 89, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3, 11, 23, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBLite_Z7, 33, 77, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBLITE_MATRIX4X16_1_1_0_128_0_0_0_1s, 33, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_128_1s_0_1_0, 27, 53, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_1s_0_1_0, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_1s_0_0_2, 6, 24, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3_0, 5, 23, 0, 0, 0, 0, 0, 0, 0
.	. CoreAPB3_Z8, 0, 66, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAPB3_MUXPTOB3_0, 0, 66, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_Z10, 8, 3, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_Z9, 32, 2, 0, 0, 0, 0, 0, 0, 0
.	. CoreTimer_32s_1s_25s_1s, 118, 93, 44, 0, 0, 0, 0, 0, 0
.	. CoreTimer_32s_1s_25s_1s_0, 118, 92, 44, 0, 0, 0, 0, 0, 0
.	. DDR_MEMORY_CTRL, 100, 365, 25, 0, 0, 0, 0, 0, 71
.	.	. DDR_MEMORY_CTRL_COREABC_0_COREABC_Z13, 100, 365, 25, 0, 0, 0, 0, 0, 0
.	.	.	. DDR_MEMORY_CTRL_COREABC_0_INSTRUCTIONS_Z14, 34, 219, 0, 0, 0, 0, 0, 0, 0
.	.	. DDR_MEMORY_CTRL_FDDRC_0_RTG4FDDRC, 0, 0, 0, 0, 0, 0, 0, 0, 71
.	. RTG4_RV32_BaseDesign_CoreUARTapb_0_CoreUARTapb_Z12, 114, 157, 19, 0, 0, 0, 0, 0, 0
.	.	. RTG4_RV32_BaseDesign_CoreUARTapb_0_COREUART_0s_0s_0s_25s_0s_1s, 90, 131, 19, 0, 0, 0, 0, 0, 0
.	.	.	. RTG4_RV32_BaseDesign_CoreUARTapb_0_Clock_gen_0s_1s, 19, 11, 14, 0, 0, 0, 0, 0, 0
.	.	.	. RTG4_RV32_BaseDesign_CoreUARTapb_0_Rx_async_1s_0s_0s_1s_2s_3s, 41, 81, 0, 0, 0, 0, 0, 0, 0
.	.	.	. RTG4_RV32_BaseDesign_CoreUARTapb_0_Tx_async_1s_0s_0s_1s_2s_3s_4s_5s_6s, 21, 31, 5, 0, 0, 0, 0, 0, 0
.	. RTG4_RV32_BaseDesign_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_32896_32896_2s_5s_34s_2s, 4804, 9656, 1008, 0, 2, 8, 8, 1, 0
.	.	. RTG4_RV32_BaseDesign_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CORE_RISC_VAHB_TOP, 4804, 9656, 1008, 0, 2, 8, 8, 1, 0
.	.	.	. RTG4_RV32_BaseDesign_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_COREPLEX_LOCAL_INTERRUPTER_CLINT, 129, 98, 192, 0, 0, 0, 0, 0, 0
.	.	.	. RTG4_RV32_BaseDesign_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_DEBUG_TRANSPORT_MODULE_JTAG, 168, 237, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. RTG4_RV32_BaseDesign_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CAPTURE_CHAIN, 32, 33, 0, 0, 0, 0, 0, 0, 0
